image_id,caption,label,hypothesis
1814086703,two dogs running together in a field,entailment,Deux chiens courent.
1814086703,two dogs running together in a field,contradiction,Les deux chiens dorment sur le tas de feuilles.
1814086703,two dogs running together in a field,neutral,Les deux chiens courent pour jouer dans les feuilles.
1891462514,a woman kneeling in a hole in the sand,contradiction,Les porcs mangent des chiens
1891462514,a woman kneeling in a hole in the sand,entailment,La dame creuse dans le sol
1891462514,a woman kneeling in a hole in the sand,neutral,La dame creuse dans le sol pour de l'or.
2487069642,a woman wearing a life jacket on an airplane,neutral,Une hôtesse de l'air est debout devant les passagers.
2487069642,a woman wearing a life jacket on an airplane,neutral,Une hôtesse de l'air fait une démonstration des procédures de sécurité avant le décollage.
2487069642,a woman wearing a life jacket on an airplane,contradiction,Une femme prépare des boissons dans un avion.
2507831979,a woman sitting at a table with a cup of coffee,contradiction,La femme est silencieuse.
2507831979,a woman sitting at a table with a cup of coffee,neutral,La femme papote avec sa copine.
2507831979,a woman sitting at a table with a cup of coffee,entailment,Une femme papote.
2536991887,a line of blue bags on the side of a train station,contradiction,Des travailleurs sont assis dans un train.
2536991887,a line of blue bags on the side of a train station,neutral,Des travailleurs en orange sont sur le point de réparer des voies ferrées.
2536991887,a line of blue bags on the side of a train station,entailment,Les travailleurs se tiennent debout à l'extérieur.
2713036593,a man is sitting on the ground on the sidewalk,contradiction,Un homme est allongé et dort.
2713036593,a man is sitting on the ground on the sidewalk,entailment,Un homme dort sur le sol.
2713036593,a man is sitting on the ground on the sidewalk,entailment,Un jeune homme dort dans la position assise.
294074951,three men are playing guitars in a room,entailment,Trois hommes préparent une scène musicale avec des fils et de l'équipement et ils tiennent une guitare unique comme instruments.
294074951,three men are playing guitars in a room,contradiction,Les trois hommes disaient des blagues sur la scène pour amuser la foule.
294074951,three men are playing guitars in a room,neutral,Les trois hommes jouaient dans un groupe ensemble.
3344175369,two people with backpacks hiking in the snow,neutral,Deux personnes vont travailler pendant qu’il y a une tempête
3344175369,two people with backpacks hiking in the snow,entailment,Un gars avec un haut bleu porte un sac et trace son chemin à travers la neige.
3344175369,two people with backpacks hiking in the snow,contradiction,Deux hommes jouent avec un bonhomme de neige
3360178782,a group of people standing around a market with vegetables,neutral,Un groupe d'hommes et de femmes regardent les salades romaines sur le marché de rue local.
3360178782,a group of people standing around a market with vegetables,entailment,Des gens regardant des produits sur un marché.
3360178782,a group of people standing around a market with vegetables,contradiction,Une meute de chien regarde les salades vertes sur le marché de rue local.
3360178782,a group of people standing around a market with vegetables,contradiction,Un groupe de personnes jettent des bananes sur un marché.
3360178782,a group of people standing around a market with vegetables,entailment,Les acheteurs achetant des légumes dans un marché fréquenté.
3360178782,a group of people standing around a market with vegetables,neutral,Un groupe de personnes est filmé en achetant des légumes pour la publicité d'un marché.
3494151850,three people on an orange boat in the ocean,neutral,Les hommes vont au secours.
3494151850,three people on an orange boat in the ocean,contradiction,Les hommes combattent le feu.
3494151850,three people on an orange boat in the ocean,entailment,Les hommes sont dehors.
3610460852,a woman standing at the bar of a bar,entailment,La femme est debout.
3610460852,a woman standing at the bar of a bar,neutral,La femme a ses cheveux tirés en arrière en chignon.
3610460852,a woman standing at the bar of a bar,contradiction,La femme est assise sur une serviette de plage.
3661659196,a girl holding a frisbee and a woman sitting on a stool in a,contradiction,Les filles parlant à côté des toilettes.
3661659196,a girl holding a frisbee and a woman sitting on a stool in a,entailment,Les gens parlant à côté des casiers.
3661659196,a girl holding a frisbee and a woman sitting on a stool in a,neutral,Les filles parlant de leurs problèmes à côté des casiers.
3897974076,a group of people are climbing up a tall tower,neutral,Une femme et ses enfants montent des escaliers.
